sku|store_number|description|regular_price|dept_code|sale_price|sale_qty|promo_start_date|promo_end_date|promo_min_qty|promo_limit_qty|promo_buy_qty|promo_get_qty|promo_tag|family_sale_code|tax_pct|bottle_deposit|cool|brand_name|product_name|size|uom|scale_flag|how_to_sell|avg_weight|wgt_selector|item_location
00013800554789|72|STOF FSR SALISBURY STEAK|8.99|36||||||||||||||||28|OZ|N||||
00380040520707|72|TENA ULTRA THIN HEAVY PAD 32CT|10.99|10||||||||||||||||32|CT|N||||
00016500541189|72|ONE A DAY MEN'S PRO EDGE 50CT|8.79|10||||||||||||||||50|CT|N||||
00300054757708|72|CENTRUM ULTRA MEN'S 200CT|19.99|10||||||||||||||||200|CT|N||||
00300054758705|72|CENTRUM SILVER ULTRA MEN'S 200|19.99|10||||||||||||||||200|CT|N||||
00812410000217|72|ECOFISH WILD PINK SALMON|5.99|1||||||||||||||||6|OZ|N||||
00786162002815|72|SMARTWATER 1 LT 6 PK|9.99|67|7.99|1|2018/06/14|2018/07/04|0|0|||Giant Eagle Advantage Card Price|||||||202.8|OZ|N||||
00632565000623|72|FIJI WATER 11.15 OZ 6 PK|6.29|67||||||||||||||||66.9|OZ|N||||
00036800296695|72|TC DELUXE CONTACT LENS CASE|1.99|10||||||||||||||||1|CT|N||||
00036800361003|72|TC EYE DROPS DRY EYE RLF .5OZ|4.99|10||||||||||||||||0.50|OZ|N||||
00604262008080|72|KSHR RED APPLE SMK GOUDA-CD|6.99|19||||||||||||||||8|OZ|N||||
00024094070817|72|DCECCO PASTA ELBOWS|2.39|1|4.00|2|2018/06/21|2018/07/18|0|0|||Giant Eagle Advantage Card Price|15051665||||||16|OZ|N||||
00046704610251|72|TGIF MID SLDRS CHSBGR W/BBQ SC|6.99|36||||||||||||||||12|OZ|N||||
00041953014508|72|LVAZZA COFFEE CAN ESPRESSO GRN|10.99|67|8.99|1|2018/06/28|2018/07/18|0|0|||Giant Eagle Advantage Card Price|||||||8|OZ|N||||
00051900016028|72|LO'FROST PRM O/R TKY BREAST|5.99|5|4.99|1|2018/02/22|2018/07/04|0|0|||Giant Eagle Advantage Card Price|14584177||||||16|OZ|N||||
00051900016035|72|LO'FROST PREMIUM HONEY HAM|5.99|5|4.99|1|2018/02/22|2018/07/04|0|0|||Giant Eagle Advantage Card Price|14584177||||||16|OZ|N||||
00070718000920|72|BARHAR CLAM JUICE|2.99|1||||||||||||||||8|OZ|N||||
00071518000615|72|HODGSN BROWN RICE LINGUI GLTN|3.99|1||||||||||||||||8|OZ|N||||
00074305050169|72|BRAGG RTD OG APL CIDR VIN/HONE|2.79|10||||||||||||||||16|OZ|N||||
00074305051166|72|BRAGG RTD OG APL CIDR VIN/GING|2.79|10||||||||||||||||16|OZ|N||||
00074305052163|72|BRAGG RTD OG APL CDR VIN/APL C|2.79|10||||||||||||||||16|OZ|N||||
00075496331143|72|ANGSTR BITTERS ORANGE|8.99|1||||||||||||||||4|OZ|N||||
00076580004936|72|LOACKR WAFER COOKIE LEMON CREM|4.99|90||||||||||||||||8.82|OZ|N||||
00098582102007|72|WINGIT CHKN WNG SAUCE ORIGINAL|5.29|1||||||||||||||||12|OZ|N||||
00185757000395|72|PALMIS SEA SALT WHITE SILVER|6.29|44||||||||||||||||4|OZ|N||||
00856308000057|72|HIMALA PINK SALT GLS JAR COARS|9.99|44||||||||||||||||9|OZ|N||||
00300672039927|72|EXCEDRIN MIGRAINE CAP 200CT|16.99|10||||||||||||||||200|CT|N||||
00013120002915|72|ORE-IDA GOLDEN CRINKLES|6.99|36||||||||||||||||5|LB|N||||
00013120013201|72|ORE-IDA SWEET POTATO  FRIES|3.99|36|7.00|2|2018/02/22|2018/12/26|0|0|||Giant Eagle Advantage Card Price|14580825||||||19|OZ|N||||
00030034087159|72|FM CRYSTALLIZED GINGER|3.99|4||||||||||||||||8|OZ|N||||
00083272981024|72|RGNT STAIN AWAY PLS DENTR CLNS|4.99|110||||||||||||||||8.10|OZ|N||||
00041548750958|72|OUTSHINE FRT BARS PINEAPPLE|3.99|96|10.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15072062||||||6|CT|N||||
00074570651689|72|HAGN DAZS CUP CARAMEL CONE|1.50|96|10.00|10|2018/06/14|2018/07/11|0|0|||Giant Eagle Advantage Card Price|15001148||||||3.6|OZ|N||||
00083900005542|72|GOLD PEAK TEA SWEET 16.9Z6PK|5.99|67|12.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15118551||||||101.4|OZ|N||||
00083900005535|72|GOLD PEAK TEA DIET 16.9Z6P|5.99|67|12.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15118551||||||101.4|OZ|N||||
00076750068003|72|DISNEY $100 GIFT CARD|100.00|999||||||||||||||||||N||||
00076750067976|72|DISNEY $500 GIFT CARD|500.00|999||||||||||||||||||N||||
00698997809173|72|UDIS GF PIZZA CRUST|5.99|36||||||||||||||||8|OZ|N||||
00031000670016|72|PF CHANG BEEF W/ BROCCOLI|8.49|36||||||||||12298936||||||22|OZ|N||||
00031000650162|72|BERT CHKN MARSALA/RSTD RDSKINS|8.99|36|8.49|1|2018/05/31|2019/05/29|0|0|||Giant Eagle Advantage Card Price|14991958||||||24|OZ|N||||
00266217000008|72|BARBER VINTAGE RESERVE CHDR-CD|14.99|19||||||||||||||||10|LB|Y||||
00306969044049|72|ARNICARE ARTHRITIS|9.99|10||||||||||||||||1|EA|N||||
00306960075134|72|ARNICA MONTANA 30C|7.49|10||||||||||||||||30|CT|N||||
00306960606130|72|PULSATILLA 30C|7.49|10||||||||||||||||30|CT|N||||
00306960631132|72|RHUS TOXICODENDRON 30C|7.49|10||||||||||||||||30|CT|N||||
00306960677130|72|SEPIA 30C|7.49|10||||||||||||||||30|CT|N||||
00186852000310|72|TALENTI BELGIUM CHOCOLATE|5.49|96|12.00|4|2018/06/28|2018/07/11|0|0|||Giant Eagle Advantage Card Price|15084386||||||16|OZ|N||||
00036800296978|72|TC MAXI PADS LONG ULTRA W/WING|2.99|110||||||||||12795103||||||16|CT|N||||
00028800130260|72|HANOVER CANDIED SWEET POTATOES|3.29|36||||||||||||||||20|OZ|N||||
00031000670078|72|PF CHANG GEN CHANG'S CHICKEN|8.49|36||||||||||12298936||||||22|OZ|N||||
00031000670023|72|PF CHANG ORANGE CHICKEN|8.49|36||||||||||12298936||||||22|OZ|N||||
00093936680026|72|CASTELLO DILL HAVARTI  -CD|5.99|19||||||||||||||||8|OZ|N||||
00036800316478|72|TC PANTILINER W/DRI SFT COVR|2.79|110||||||||||||||||40|CT|N||||
00034000004966|72|REESE DARK PNT BUTTER CUPS|1.00|68|0.69|1|2018/06/21|2018/07/04|0|0|||Giant Eagle Advantage Card Price|||||||1.50|OZ|N||||
